'Ohana Health Plan: Medicaid,http://www.ohanahealthplan.com/WCAssets/hawaii/assets/'Ohana_Forms_Medicaid_Administrative_Review_Request_Form_Member.pdf
'Ohana Health Plan: Medicaid,https://ohanahealthplan.com/WCAssets/hawaii/assets/hi_qexa_non_claim_remit_cost_share.pdf  
'Ohana Health Plan: Medicaid,https://ohanahealthplan.com/WCAssets/corporate/assets/provider_taxonomy_guide_04_2013.pdf 
Aetna Health Care Professional Forms,http://www.aetna.com/pharmacy-insurance/healthcare-professional/documents/Xeljanz-Precert-Form.pdf
Aetna Health Care Professional Forms,http://www.aetna.com/pharmacy-insurance/healthcare-professional/documents/actemra-precert-form.pdf
Aetna Health Care Professional Forms,http://www.aetna.com/pharmacy-insurance/healthcare-professional/documents/adcetris-precert-form.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Calcium.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Ergocalciferol.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Fexmid.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Magnesium.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Panretin.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Quinine.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Soma.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_Stadol.pdf
Alaska Medicaid Prior Authorization,http://dhss.alaska.gov/dhcs/Documents/pdl/drugsspecific_criteria_pdl/200908_TransdermScop.pdf
